college_code,college_name,nirf
E003,B M S College of Engineering Basavanagudi,151-200
E005,R. V. College of Engineering,99
E006,M S Ramaiah Institute of Technology,75
E007,Dayananda Sagar College of Engineering,201-300
E009,P E S University (Ring Road Campus),101-150
E016,Siddaganga Institute of Technology,100
E022,The National Institute of Engineering(SOUTH CAMPUS),151-200
E023,P E S College of Engineering,201-300
E030,KLE Technological University(Formerly BVBCET),151-200
E048,B M S College of Engineering Basavanagudi,151-200
E056,The National Institute of Engineering(SOUTH CAMPUS),151-200
E057,JSS Science and Technology University(Formerly SJCE),201-300
E058,P E S College of Engineering,201-300
E097,C M R Institute of Technology,151-200
E099,New Horizon College of Engineering,151-200
E105,Nitte Meenakshi Institutute of Technology,101-150
E126,B M S Institute of Technology and Management,201-300
E178,The National Institute of Engineering(NORTH CAMPUS),151-200
E232,Reva University,201-300
E241,KLE Technological University(Formerly BVBCET),151-200
E053,N M A M Institute of Technology,151-200
